agreement_id,customer_id,scope,product_id,family,agreed_price,effective_start,effective_end,committed_units,approval_ref,status,superseded_by,prior_price,premium_pct
A0001,C001,family,,Vertical Probe Heads,32477.54,2024-07-13,2026-09-13,100,PA-2024-0001,active,,28723.2,0.1307
A0002,C001,part,P0005,,33974.04,2024-03-19,2026-03-01,105,PA-2024-0002,expired,,29066.67,0.1688
A0003,C001,part,P0003,,28169.41,2024-04-08,2027-06-02,176,PA-2024-0003,active,,25375.37,0.1101
A0004,C001,part,P0042,,401.68,2024-05-15,2026-03-12,9503,PA-2024-0004,expired,,377.63,0.0637
A0005,C002,family,,Calibration Standards,2238.59,2024-04-17,2025-11-28,338,PA-2024-0005,superseded,A0006,1803.27,0.2414
A0006,C002,family,,Calibration Standards,2650.55,2025-10-24,2027-08-12,814,PA-2025-0006,active,,2238.59,0.184
A0007,C002,part,P0071,,7481.81,2024-04-02,2027-05-17,192,PA-2024-0007,active,,7239.49,0.0335
A0008,C002,part,P0066,,7062.28,2024-02-20,2026-11-19,120,PA-2024-0008,active,,6442.6,0.0962
A0009,C002,part,P0114,,1827.45,2024-03-09,2025-10-19,420,PA-2024-0009,superseded,A0010,1734.5,0.0536
A0010,C002,part,P0114,,2195.62,2025-10-20,2027-07-31,455,PA-2025-0010,active,,1827.45,0.2015
A0011,C002,part,P0060,,507.99,2024-05-04,2026-12-22,9250,PA-2024-0011,active,,397.21,0.2789
A0012,C002,part,P0073,,7673.87,2024-07-15,2026-10-30,300,PA-2024-0012,active,,6718.37,0.1422
A0013,C002,part,P0065,,7076.13,2024-06-13,2026-12-19,308,PA-2024-0013,active,,6360.02,0.1126
A0014,C002,part,P0105,,2028.11,2024-06-25,2025-05-30,276,PA-2024-0014,superseded,A0015,1764.35,0.1495
A0015,C002,part,P0105,,2138.12,2025-07-16,2026-05-26,378,PA-2025-0015,expired,,2028.11,0.0542
A0016,C002,part,P0067,,7469.5,2024-03-10,2027-03-11,102,PA-2024-0016,active,,6827.79,0.094
A0017,C003,part,P0022,,10020.65,2024-04-17,2027-03-26,400,PA-2024-0017,active,,9072.98,0.1044
A0018,C003,part,P0050,,393.17,2024-07-11,2026-09-19,2106,PA-2024-0018,active,,376.98,0.0429
A0019,C003,part,P0024,,9765.02,2024-03-30,2027-03-13,400,PA-2024-0019,active,,8561.66,0.1406
A0020,C003,part,P0039,,11357.18,2024-03-09,2027-04-15,143,PA-2024-0020,active,,10214.96,0.1118
A0021,C003,part,P0027,,11127.68,2024-05-30,2025-01-21,480,PA-2024-0021,superseded,A0022,9877.91,0.1265
A0022,C003,part,P0027,,12974.89,2025-01-22,2025-12-04,96,PA-2025-0022,expired,,11127.68,0.166
A0023,C003,part,P0044,,373.68,2024-03-24,2027-03-20,4752,PA-2024-0023,active,,340.44,0.0977
A0024,C003,part,P0026,,10795.28,2024-04-22,2025-08-28,50,PA-2024-0024,superseded,A0025,9402.65,0.1481
A0025,C003,part,P0026,,11155.7,2025-08-29,2026-11-01,42,PA-2025-0025,active,,10795.28,0.0334
A0026,C003,part,P0060,,415.87,2024-05-24,2027-05-17,10764,PA-2024-0026,active,,383.52,0.0844
A0027,C003,part,P0025,,10528.47,2024-03-24,2025-09-24,136,PA-2024-0027,superseded,A0028,9879.31,0.0657
A0028,C003,part,P0025,,11945.85,2025-12-17,2027-04-25,510,PA-2025-0028,active,,10528.47,0.1346
A0029,C003,part,P0033,,10747.47,2024-06-01,2026-09-20,238,PA-2024-0029,active,,10006.96,0.074
A0030,C004,family,,Cantilever Probe Cards,11834.41,2024-06-03,2025-10-14,297,PA-2024-0030,superseded,A0031,10857.15,0.09
