product_id,part_number,family,launch_date
P0001,VPH-1000,Vertical Probe Heads,2022-04-05
P0002,VPH-1037,Vertical Probe Heads,2021-09-08
P0003,VPH-1074,Vertical Probe Heads,2022-07-08
P0004,VPH-1111,Vertical Probe Heads,2023-07-02
P0005,VPH-1148,Vertical Probe Heads,2022-10-01
P0006,VPH-1185,Vertical Probe Heads,2023-04-29
P0007,VPH-1222,Vertical Probe Heads,2021-12-23
P0008,VPH-1259,Vertical Probe Heads,2021-03-11
P0009,VPH-1296,Vertical Probe Heads,2025-05-10
P0010,VPH-1333,Vertical Probe Heads,2023-04-30
P0011,VPH-1370,Vertical Probe Heads,2023-04-05
P0012,VPH-1407,Vertical Probe Heads,2022-06-20
P0013,VPH-1444,Vertical Probe Heads,2022-12-01
P0014,VPH-1481,Vertical Probe Heads,2020-11-10
P0015,VPH-1518,Vertical Probe Heads,2023-05-24
P0016,VPH-1555,Vertical Probe Heads,2018-12-16
P0017,VPH-1592,Vertical Probe Heads,2023-01-21
P0018,VPH-1629,Vertical Probe Heads,2025-05-06
P0019,VPH-1666,Vertical Probe Heads,2019-04-28
P0020,VPH-1703,Vertical Probe Heads,2021-12-04
P0021,CPC-1740,Cantilever Probe Cards,2022-02-12
P0022,CPC-1777,Cantilever Probe Cards,2021-02-27
P0023,CPC-1814,Cantilever Probe Cards,2019-02-01
P0024,CPC-1851,Cantilever Probe Cards,2021-07-30
P0025,CPC-1888,Cantilever Probe Cards,2023-11-02
P0026,CPC-1925,Cantilever Probe Cards,2021-03-15
P0027,CPC-1962,Cantilever Probe Cards,2019-10-11
P0028,CPC-1999,Cantilever Probe Cards,2021-08-12
P0029,CPC-2036,Cantilever Probe Cards,2018-12-10
P0030,CPC-2073,Cantilever Probe Cards,2021-01-14
P0031,CPC-2110,Cantilever Probe Cards,2024-11-02
P0032,CPC-2147,Cantilever Probe Cards,2025-10-29
P0033,CPC-2184,Cantilever Probe Cards,2022-04-19
P0034,CPC-2221,Cantilever Probe Cards,2019-02-20
P0035,CPC-2258,Cantilever Probe Cards,2020-10-11
P0036,CPC-2295,Cantilever Probe Cards,2019-07-31
P0037,CPC-2332,Cantilever Probe Cards,2024-12-05
P0038,CPC-2369,Cantilever Probe Cards,2023-07-16
P0039,CPC-2406,Cantilever Probe Cards,2020-01-12
P0040,CPC-2443,Cantilever Probe Cards,2021-10-27
P0041,BIS-2480,Burn-In Sockets,2023-01-17
P0042,BIS-2517,Burn-In Sockets,2022-08-25
P0043,BIS-2554,Burn-In Sockets,2023-06-10
P0044,BIS-2591,Burn-In Sockets,2022-05-30
P0045,BIS-2628,Burn-In Sockets,2025-04-13
P0046,BIS-2665,Burn-In Sockets,2022-05-20
P0047,BIS-2702,Burn-In Sockets,2021-03-14
P0048,BIS-2739,Burn-In Sockets,2019-07-28
P0049,BIS-2776,Burn-In Sockets,2022-01-02
P0050,BIS-2813,Burn-In Sockets,2019-07-18
P0051,BIS-2850,Burn-In Sockets,2023-06-13
P0052,BIS-2887,Burn-In Sockets,2022-06-19
P0053,BIS-2924,Burn-In Sockets,2023-12-26
P0054,BIS-2961,Burn-In Sockets,2020-09-20
P0055,BIS-2998,Burn-In Sockets,2023-10-10
P0056,BIS-3035,Burn-In Sockets,2021-01-13
P0057,BIS-3072,Burn-In Sockets,2023-04-12
