booking_id,quote_id,line_no,customer_id,product_id,booking_date,booked_quantity,booked_price
BK-000001,Q-2024-000002,1,C033,P0042,2024-09-18,171,410.76
BK-000002,Q-2024-000002,2,C033,P0033,2024-10-16,6,11800.0
BK-000003,Q-2024-000003,1,C027,P0072,2024-09-01,11,9352.93
BK-000004,Q-2024-000004,1,C029,P0003,2024-09-16,7,29785.63
BK-000005,Q-2024-000006,2,C026,P0042,2024-08-23,306,502.61
BK-000006,Q-2024-000011,1,C039,P0060,2024-09-07,618,572.15
BK-000007,Q-2024-000014,1,C040,P0024,2024-09-21,15,9306.78
BK-000008,Q-2024-000015,1,C011,P0080,2024-09-01,7,8189.61
BK-000009,Q-2024-000016,2,C003,P0024,2024-09-17,2,9799.42
BK-000010,Q-2024-000018,1,C027,P0072,2024-08-20,5,9396.51
BK-000011,Q-2024-000019,1,C027,P0025,2024-09-09,4,14234.94
BK-000012,Q-2024-000019,2,C027,P0036,2024-10-09,14,14885.37
BK-000013,Q-2024-000020,1,C005,P0044,2024-10-04,365,352.03
BK-000014,Q-2024-000022,2,C032,P0088,2024-09-26,2,53080.71
BK-000015,Q-2024-000023,2,C011,P0083,2024-09-25,4,41058.16
BK-000016,Q-2024-000024,1,C020,P0066,2024-10-01,7,8011.84
BK-000017,Q-2024-000024,2,C020,P0079,2024-09-16,13,7850.65
BK-000018,Q-2024-000025,1,C021,P0107,2024-09-05,30,2086.36
BK-000019,Q-2024-000027,1,C025,P0113,2024-09-18,10,2188.24
BK-000020,Q-2024-000028,1,C012,P0099,2024-09-26,2,50844.35
BK-000021,Q-2024-000028,2,C012,P0084,2024-08-31,2,56091.07
BK-000022,Q-2024-000029,1,C017,P0079,2024-10-01,11,6850.0
BK-000023,Q-2024-000030,1,C002,P0114,2024-10-10,38,1824.19
BK-000024,Q-2024-000031,1,C028,P0044,2024-10-01,454,547.0
BK-000025,Q-2024-000031,3,C028,P0060,2024-09-20,141,558.28
BK-000026,Q-2024-000034,2,C004,P0029,2024-09-07,6,11876.12
BK-000027,Q-2024-000035,1,C004,P0022,2024-08-23,23,10272.12
BK-000028,Q-2024-000036,2,C037,P0002,2024-09-27,7,35263.7
BK-000029,Q-2024-000037,1,C022,P0005,2024-09-09,1,36657.7
BK-000030,Q-2024-000038,2,C033,P0043,2024-09-09,569,404.89
BK-000031,Q-2024-000039,2,C002,P0067,2024-10-04,2,7468.76
BK-000032,Q-2024-000039,4,C002,P0107,2024-09-15,9,2244.75
BK-000033,Q-2024-000040,2,C005,P0020,2024-09-29,1,29843.63
BK-000034,Q-2024-000040,3,C005,P0049,2024-09-21,129,360.56
BK-000035,Q-2024-000043,2,C039,P0046,2024-10-01,413,477.11
BK-000036,Q-2024-000043,3,C039,P0060,2024-09-04,323,571.13
BK-000037,Q-2024-000044,1,C010,P0022,2024-08-30,8,10299.17
BK-000038,Q-2024-000046,1,C012,P0087,2024-09-15,3,45581.19
BK-000039,Q-2024-000046,2,C012,P0047,2024-09-11,627,476.81
BK-000040,Q-2024-000047,1,C010,P0087,2024-09-21,4,41995.72
BK-000041,Q-2024-000047,3,C010,P0040,2024-10-09,5,10688.99
BK-000042,Q-2024-000048,1,C019,P0022,2024-09-09,2,11500.83
BK-000043,Q-2024-000048,2,C019,P0040,2024-09-09,9,11435.58
