quote_id,line_no,customer_id,product_id,rep_id,quote_date,quantity,quoted_price,stage,approval_ref,exception_reason_code
Q-2024-000001,1,C009,P0093,R09,2024-08-09,1,41158.09,lost,,
Q-2024-000002,1,C033,P0042,R09,2024-08-25,171,410.76,won,,
Q-2024-000002,2,C033,P0033,R09,2024-08-25,8,11800.0,won,,
Q-2024-000003,1,C027,P0072,R03,2024-08-02,17,9352.93,won,,
Q-2024-000003,2,C027,P0036,R03,2024-08-02,8,14897.79,lost,,
Q-2024-000004,1,C029,P0003,R05,2024-08-02,7,29785.63,won,,
Q-2024-000006,1,C026,P0111,R02,2024-08-10,18,2586.82,lost,,
Q-2024-000006,2,C026,P0042,R02,2024-08-10,547,502.61,won,,
Q-2024-000007,1,C007,P0012,R07,2024-08-20,6,35798.16,lost,,
Q-2024-000008,1,C012,P0106,R12,2024-08-18,32,2073.33,lost,,
Q-2024-000009,1,C037,P0019,R01,2024-08-31,8,38776.39,lost,,
Q-2024-000010,1,C011,P0073,R11,2024-08-03,13,7955.88,lost,,
Q-2024-000011,1,C039,P0060,R03,2024-08-16,655,572.15,won,,
Q-2024-000012,1,C032,P0095,R08,2024-08-05,4,43048.31,lost,,
Q-2024-000014,1,C040,P0024,R04,2024-08-17,24,9306.78,won,,
Q-2024-000014,2,C040,P0039,R04,2024-08-17,3,11788.42,lost,,
Q-2024-000015,1,C011,P0080,R11,2024-08-13,7,8189.61,won,,
Q-2024-000016,1,C003,P0044,R06,2024-08-30,389,374.7,lost,,
Q-2024-000016,2,C003,P0024,R06,2024-08-30,4,9799.42,won,,
Q-2024-000017,1,C016,P0086,R04,2024-08-08,3,53395.66,lost,,
Q-2024-000018,1,C027,P0072,R03,2024-08-11,6,9396.51,won,,
Q-2024-000019,1,C027,P0025,R03,2024-08-10,7,14234.94,won,,
Q-2024-000019,2,C027,P0036,R03,2024-08-10,14,14885.37,won,,
Q-2024-000020,1,C005,P0044,R05,2024-08-26,624,352.03,won,,
Q-2024-000022,1,C032,P0044,R08,2024-08-08,532,542.34,lost,,
Q-2024-000022,2,C032,P0088,R08,2024-08-08,2,53135.42,won,,
Q-2024-000023,2,C011,P0083,R11,2024-08-23,4,41058.16,won,,
Q-2024-000024,1,C020,P0066,R08,2024-08-01,7,8011.84,won,,
Q-2024-000024,2,C020,P0079,R08,2024-08-01,13,8001.36,won,,
Q-2024-000025,1,C021,P0107,R09,2024-08-24,30,2086.36,won,,
Q-2024-000027,1,C025,P0113,R01,2024-08-26,10,2188.24,won,,
Q-2024-000028,1,C012,P0099,R12,2024-08-08,2,50844.35,won,,
Q-2024-000028,2,C012,P0084,R12,2024-08-08,4,56091.07,won,,
Q-2024-000029,1,C017,P0079,R05,2024-08-14,19,6850.0,won,,
Q-2024-000030,1,C002,P0114,R02,2024-08-27,38,1824.19,won,,
Q-2024-000031,1,C028,P0044,R04,2024-08-07,454,547.0,won,,
Q-2024-000031,2,C028,P0058,R04,2024-08-07,601,609.29,lost,,
